LAT,LON,GloElev_5min,GloSlopesCl1_5min,GloSlopesCl2_5min,GloSlopesCl3_5min,GloSlopesCl4_5min,GloSlopesCl5_5min,GloSlopesCl6_5min,GloSlopesCl7_5min,GloSlopesCl8_5min,CULTRF_2000,CULTIR_2000,CULT_2000,FOR_2000,GRS_2000,URB_2000,NVG_2000,WAT_2000,sq1,sq2,sq3,sq4,sq5,sq6,sq7
17.75,-90.75,54,824,5502,3388,267,19,,,,0,0,0,73.227783203125,26.7662162780762,0.00600000005215406,0,0,1,1,3,2,1,1,3
17.75,-90.25,189,621,4644,3521,1065,143,6,,,0.000110738350485917,0,0.000110738350485917,70.4094696044922,29.559419631958,0.0309999976307154,0,0,1,1,3,2,1,1,3
17.75,-89.75,312,368,2970,4751,1612,267,32,,,0,0,0,73.180908203125,26.7490921020508,0.0700000002980232,0,0,1,1,1,1,1,1,1
17.75,-89.25,112,351,2976,4449,2081,136,7,,,0,0,0,73.2215576171875,26.7639427185059,0.0145000005140901,0,0,1,1,1,1,1,1,4
17.75,-88.75,35,581,3767,4467,1118,64,3,,,3.64824032783508,0,3.64824032783508,85.2756042480469,10.9917554855347,0.0843999907374382,0,0,1,1,2,1,1,1,4
17.75,-88.25,2,832,2168,1070,139,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.25,-92.25,1,2755,6495,742,8,,,,,68.2645797729492,0,68.2645797729492,19.0436153411865,12.1655044555664,0.526300013065338,0,0,1,1,1,3,1,1,1
18.25,-91.75,1,887,6465,2633,15,,,,,17.6138019561768,0,17.6138019561768,61.4131050109863,20.8560924530029,0.116999998688698,0,0,1,1,2,3,1,1,3
18.25,-91.25,27,1103,6610,2262,25,,,,,67.2369613647461,0,67.2369613647461,17.9312362670898,13.4523019790649,0.38060000538826,0,0.99889999628067,1,1,1,3,1,1,3
18.25,-90.75,46,802,4774,2630,1236,399,156,3,,0,0,0,79.9403228759766,19.9850769042969,0.0745999962091446,0,0,1,1,3,2,1,1,4
18.25,-90.25,141,227,2147,3523,2734,1029,340,,,5.00555419921875,0,5.00555419921875,74.319580078125,20.5637664794922,0.111099995672703,0,0,1,1,3,2,1,1,4
18.25,-89.75,262,372,3676,4916,999,37,,,,0.625694215297699,0,0.625694215297699,79.2130584716797,20.0512466430664,0.109999999403954,0,0,1,1,3,1,1,1,4
18.25,-89.25,200,221,2543,5019,2030,176,11,,,0,0,0,79.9028778076172,19.9757213592529,0.121399998664856,0,0,1,1,4,1,1,2,4
18.25,-88.75,36,1214,4761,2434,1340,227,24,,,26.585807800293,43.625129699707,70.2109375,11.6719694137573,17.8363933563232,0.280699998140335,0,0,1,1,5,1,1,2,5
18.25,-88.25,5,1727,5815,2148,239,15,25,2,,1.04271006584167,0,1.04271006584167,76.8351821899414,12.5964078903198,0.592099964618683,2.95870018005371,5.97489976882935,1,1,2,2,1,1,3
